name,lat,lon,capacity
34 Ave & 13 St,40.7638753,-73.9364848,19
41 St & 3 Ave,40.652512,-74.008906,19
56 Ave & 92 St,40.73649,-73.86995,25
W 47 St & 6 Ave,40.758154,-73.981957,68
Southern Blvd & E 149 St,40.811892,-73.904192,27
E 24 St & Park Ave S,40.74096374,-73.98602213,79
Washington Pl & Greene St,40.72980619180496,-73.99546380915461,46
Decatur Ave & Bedford Park Blvd,40.86813,-73.88412,20
Mount Eden Pkwy & Eastburn Ave,40.842675,-73.908544,19
24 Ave & 92 St,40.76589,-73.87789,20
West Thames St,40.70834698,-74.01713445,73
Washington Park,40.6917823,-73.9737299,24
Calyer St & West St,40.72693,-73.95863,35
Lexington Ave & E 127 St,40.805726,-73.936322,33
Stagg St & Morgan Ave,40.710681,-73.93372,23
26 Ave & 2 St,40.77684387,-73.93463418,23
61 St & Borden Ave,40.72558,-73.90417,21
1 Ave & E 38 St,40.746202,-73.971822,39
31 Ave & 57 St,40.757357,-73.904726,23
Sedgwick Ave & Hall of Fame Terrace,40.859532,-73.913303,19
Berry St & N 8 St,40.7190095,-73.95852515,27
46 Ave & Junction Blvd,40.74399,-73.86781,19
E 3 St & 1 Ave,40.72467721,-73.98783413,47
E 201 St & Briggs Ave,40.87207,-73.88459,19
W 25 St & 8 Ave,40.74649996333341,-73.99732626293645,33
Grand Ave & Bergen St,40.678045,-73.962408,25
89 St & 3 Ave,40.62137,-74.03209,20
92 St & 37 Ave,40.75085,-73.87509,19
35 St & 23 Ave,40.77301508291382,-73.91119033098221,28
E 5 St & Cooper Sq,40.72769,-73.990993,50
83 St & Narrows Ave,40.62757,-74.03838,12
National St & 45 Ave,40.74582,-73.86433,22
W 211 St & 10 Ave,40.86709406268147,-73.9172950387001,20
3 Ave & E 169 St,40.832678,-73.905158,21
Pier 61 at Chelsea Piers,40.746872,-74.00821,43
64 St & 51 Ave,40.73577,-73.90184,19
Vernon Blvd & 41 Rd,40.7552433,-73.9485678,27
Riverside Dr & W 78 St,40.78414472,-73.98362492,79
Greene Ave & Nostrand Ave,40.6883337,-73.950916,23
Park Pl & Buffalo Ave,40.67202,-73.92539,20
Taylor St & Bedford Ave,40.705774,-73.963252,23
W 4 St & 7 Ave S,40.73401143,-74.00293877,60
Eastern Pkwy & Troy Ave,40.66929,-73.93679,24
44 St & Greenpoint Ave,40.741119944681465,-73.92103672027588,27
55 St & 5 Ave,40.642408,-74.013318,28
W 15 St & 6 Ave,40.738046142482766,-73.99642959237099,75
Fort Washington Ave & W 190 St,40.856906,-73.935662,19
Loring Pl North & W 183 St,40.8604244,-73.9093359997,20
E Tremont Ave & E 176 St,40.847798,-73.901883,21
96 St & Northern Blvd,40.75712,-73.8722,20
3 Ave & E 71 St,40.76879,-73.9614,47
E 5 St & Ave C,40.72299208,-73.97995466,55
Alexander Ave & E 134 St,40.807466,-73.927107,19
