SIGNNAME,BOROUGH,CLASS,ACRES,latitude,longitude
Electric Playground,Q,PARK,1.749,40.73596460028634,-73.80537586334934
Cherry Tree Park,M,PARK,0.95,40.787238688272176,-73.94720552416752
Commodore Barry Park,B,PARK,10.391,40.69729514428049,-73.97893701891911
Park,M,PARK,0.188,40.796994014877306,-73.92949908285298
Fresh Meadows Playground,Q,PARK,1.35,40.73411680761808,-73.79618385655459
McKenna Square,M,PARK,0.222,40.83846005789337,-73.93939313734252
Sergeant Johnson Triangle,X,PARK,0.74,40.85793422366786,-73.88127740013672
Park,B,PARK,0.161,40.582528677941816,-73.97497571980567
Park,B,PARK,0.097,40.6402787233093,-73.9945076067064
Seeley Park,B,PARK,0.364,40.65338243333115,-73.97783981491109
Locust Manor Civic Association,Q,PARK,0.083,40.683521420606,-73.77389666366759
Barrier Playground,Q,PARK,0.867,40.73626992039515,-73.85493361535607
Crosson Green,Q,PARK,0.064,40.74232264256484,-73.89667943770152
Gladys Warren Triangle,Q,PARK,0.113,40.70728483550613,-73.76422812717595
Hollis Veterans Square,Q,PARK,0.018,40.71029808208185,-73.77128624489961
Maple Grove Park,Q,PARK,1.5,40.71194941425143,-73.82416643356224
Jackson Mill Green,Q,PARK,0.065,40.76642228744596,-73.87575995172973
Myrtle Avenue Clemens Triangle,Q,PARK,0.013,40.70018497200922,-73.906626427602
Pigeon Paradise,Q,PARK,0.071,40.74865442101415,-73.89656694020402
Steinmann Triangle,Q,PARK,0.214,40.74518939569226,-73.90924312111851
Park,Q,PARK,0.03,40.73398498872631,-73.86780571060737
Linden Park,B,PARK,9.322,40.6589523843266,-73.88699861763311
Harmony Triangle,B,PARK,0.1,40.70327087716372,-73.95039702851687
Hendrick I. Lott House,B,PARK,0.734,40.61032940902852,-73.93264509148933
TLC Sculpture Park Garden,B,PARK,0.172,40.67271842671283,-73.90065003714264
Georgia Ave Garden,B,PARK,0.037,40.66100689362321,-73.8944406831432
Green Central Knoll,B,PARK,2.741,40.701933462070116,-73.93303456027449
Lt. Federico Narvaez Tot Lot,B,PARK,0.125,40.64028198753806,-73.96592745905618
Lewis Playground,B,PARK,0.161,40.69540717083973,-73.93788272116376
Corona Golf Playground,Q,PARK,1.722,40.747582380553396,-73.8546113019565
Benson Playground,B,PARK,0.934,40.602433517552086,-74.00226109715732
Rainbow Garden,X,PARK,0.174,40.823320318042406,-73.91498692443574
Greene Playground,B,PARK,1.259,40.68619030111751,-73.9659030819672
Pink Playground,B,PARK,1,40.66654569112959,-73.86266766628995
Rainbow Playground,B,PARK,0.46,40.64054463890207,-74.01106490552327
Ranaqua Playground,X,PARK,0.972,40.80671257029425,-73.92218057570985
Mellett Playground,B,PARK,1.056,40.59698660695324,-73.9574472193841
Grady Playground,B,PARK,3.403,40.58305310661979,-73.96471236528245
Joe Holzka Community Garden,R,PARK,0.429,40.63452802692004,-74.12157435948096
Galapo Playground,B,PARK,0.565,40.59799544879129,-73.94672959579638
Squibb Park,B,PARK,0.626,40.70089551923122,-73.99547528227082
Brooklyn Heights Promenade,B,PARK,0.21,40.6957363633562,-73.9977641905752
Stockton Playground,B,PARK,1.089,40.697283736725765,-73.94867376714568
Brooklyn Academy Of Music,B,PARK,0.965,40.686462769349,-73.97769752760553
Isham Park,M,PARK,20.132,40.8706579571148,-73.91968464133939
Lt. Lia Playground,R,PARK,1.37,40.64356867232539,-74.07984294011656
Millbrook Playground,X,PARK,1.053,40.80435409176508,-73.91664783852073
Marcy Playground,B,PARK,3.201,40.695521388191715,-73.95091349010247
Willowbrook Parkway,R,PARK,198.481,40.58362199248046,-74.13517308262497
Wolfe's Pond Park,R,PARK,302.693,40.52033825776642,-74.19097568793994
Sobel Playground,B,PARK,0.135,40.70737436787919,-73.96149679738647
Hugh J. Grant Circle,X,PARK,1.11,40.83313030337904,-73.86095066174323
Sarah J.S. Tompkins Garnet Playground,B,PARK,1.101,40.700681538156076,-73.95542086412739
176th Street Community Garden,X,PARK,0.213,40.84800052513139,-73.90961007333172
Latinos Unidos Garden,X,PARK,0.116,40.82155860313287,-73.9141241801437
Johnny Hartman Square,M,PARK,0.018,40.82411673195235,-73.94863616986981
Park,B,PARK,0.736,40.66153553784651,-73.98840670112746
Spencer St Block Association,B,PARK,0.043,40.69144936434146,-73.95481965236418
Joseph Austin Playground,Q,PARK,3.814,40.715857588612316,-73.80069930037403
Clintonville Playground,Q,PARK,1.553,40.783218262293786,-73.80750297041847
Oakland Gardens,Q,PARK,1.166,40.7536050913303,-73.75965323467261
Vleigh Playground,Q,PARK,2.243,40.72982188568444,-73.81650537717854
Prall Playground,R,PARK,1.307,40.62860283257277,-74.11813711672036
Marie Curie Playground,Q,PARK,2.552,40.75693569424958,-73.77177874699017
Hillside Playground,Q,PARK,1.16,40.74099991103385,-73.71318369954116
James A. Bland Playground,Q,PARK,0.551,40.75827117107553,-73.83113233314948
Playground Twenty One,Q,PARK,1.439,40.77828286132235,-73.79851511733351
Sunrise Playground,Q,PARK,1.025,40.65265686735679,-73.73634759790905
Patrick Van Doren Pocket Park,B,PARK,0.039,40.689445939189255,-73.93007159852361
