id,latitude,longitude,price,room_type,neighbourhood_cleansed,neighbourhood_group_cleansed
842691777475545064,40.67462358236079,-74.01152796889583,,Private room,Red Hook,Brooklyn
842693421738271534,40.776786379810446,-73.94486371549336,,Private room,Upper East Side,Manhattan
842710704051634071,40.76043739676244,-73.96453347672345,,Entire home/apt,Midtown,Manhattan
842724427498164965,40.70872,-73.96718,,Entire home/apt,Williamsburg,Brooklyn
842725190103388713,40.55081,-74.16401,,Entire home/apt,Great Kills,Staten Island
846382535724977704,40.85493221155216,-73.93010377493778,,Entire home/apt,Washington Heights,Manhattan
846450091131794279,40.89375989794846,-73.84642751758602,,Private room,Wakefield,Bronx
846483577749999772,40.80357,-73.96597,,Entire home/apt,Upper West Side,Manhattan
846502217501118724,40.725641,-74.001267,,Entire home/apt,SoHo,Manhattan
846524013295393960,40.6730398,-73.9781026,,Entire home/apt,Park Slope,Brooklyn
846546411200661715,40.8174733,-73.94419090000001,,Entire home/apt,Harlem,Manhattan
846574892613212583,40.71430569289825,-73.80841169311523,,Private room,Briarwood,Queens
846586911099384637,40.7144846,-73.80927,,Entire home/apt,Briarwood,Queens
846587639339097812,40.71365653216354,-73.81019323028684,,Private room,Briarwood,Queens
842737477080675783,40.67473648584908,-73.9077204745854,,Entire home/apt,Brownsville,Brooklyn
842755346079535776,40.7550775,-73.9810571,,Private room,Midtown,Manhattan
842763254864969121,40.67694,-73.98282,,Private room,Park Slope,Brooklyn
842776676158517297,40.67905,-74.01101,,Entire home/apt,Red Hook,Brooklyn
842790326832860482,40.687788293235336,-73.9267715521262,,Private room,Bedford-Stuyvesant,Brooklyn
842802021893434513,40.68791,-73.92692,,Private room,Bedford-Stuyvesant,Brooklyn
842810190442498314,40.70105,-73.93894,,Private room,Bushwick,Brooklyn
846588200975991761,40.713563974145565,-73.81019093423676,,Private room,Briarwood,Queens
846590675323805869,40.71341,-73.81008,,Private room,Briarwood,Queens
846635199398720517,40.69904469999999,-73.78209799999999,,Private room,Jamaica,Queens
846649168437586864,40.85314119764346,-73.92637579366064,,Private room,Washington Heights,Manhattan
846649972533138229,40.854718394012586,-73.92780897433148,,Private room,Washington Heights,Manhattan
846650210494283864,40.852826428798096,-73.92802196025276,,Private room,Washington Heights,Manhattan
846820283724677140,40.8144137,-73.9517413,,Entire home/apt,Harlem,Manhattan
846927779366533939,40.76377,-73.99568,,Private room,Hell's Kitchen,Manhattan
846954471654735419,40.70043137780821,-73.92806933185987,,Private room,Bushwick,Brooklyn
842859220033081539,40.67609783535909,-73.77863086760044,,Private room,Jamaica,Queens
842869121048490608,40.72935121498677,-73.98682034191576,,Entire home/apt,East Village,Manhattan
842876131443629692,40.6853877,-73.9705027,,Private room,Fort Greene,Brooklyn
846955971288535334,40.74404,-73.98155,,Entire home/apt,Midtown,Manhattan
846973595051672684,40.68828,-73.87172,,Entire home/apt,Cypress Hills,Brooklyn
846996887188956947,40.7646573,-73.9744439,,Entire home/apt,Midtown,Manhattan
846997594331753366,40.7127753,-74.0059728,,Entire home/apt,Civic Center,Manhattan
846997756027374861,40.7563378,-73.98221699999999,,Entire home/apt,Midtown,Manhattan
846998028506317248,40.7563378,-73.98221699999999,,Entire home/apt,Midtown,Manhattan
847054486959264514,40.85349573243261,-73.92852407545188,,Private room,Washington Heights,Manhattan
847054632364156092,40.85332,-73.92645,,Private room,Washington Heights,Manhattan
849315412913343353,40.68408570326341,-73.94157690456281,,Entire home/apt,Bedford-Stuyvesant,Brooklyn
849355298615771362,40.7644809,-73.9889458,,Entire home/apt,Hell's Kitchen,Manhattan
849458722007621708,40.80647,-73.94801,,Private room,Harlem,Manhattan
849516540539302137,40.67164409999999,-73.96077799999999,,Entire home/apt,Crown Heights,Brooklyn
849578246398069958,40.800334464677114,-73.96506138499791,,Private room,Upper West Side,Manhattan
847055000658915850,40.854992542091814,-73.9265024626648,,Private room,Washington Heights,Manhattan
847060268481987785,40.85931739999999,-73.9301783,,Entire home/apt,Inwood,Manhattan
847073826029422248,40.85455092548704,-73.92658246341975,,Private room,Washington Heights,Manhattan
847074245784350188,40.85459,-73.92815,,Private room,Washington Heights,Manhattan
847076168679282117,40.7674053,-73.9926802,,Private room,Hell's Kitchen,Manhattan
847087780844574910,40.8543128229079,-73.9262065913687,,Private room,Washington Heights,Manhattan
847088264340785190,40.85298303641393,-73.92619284806217,,Private room,Washington Heights,Manhattan
847088716587790052,40.853075352085945,-73.92668318842843,,Private room,Washington Heights,Manhattan
847095858274228094,40.74810999905664,-73.94212866701119,,Entire home/apt,Long Island City,Queens
847102011520679894,40.85299097448323,-73.92819990341407,,Private room,Washington Heights,Manhattan
849766949872596187,40.683592928162426,-73.93804190995628,,Entire home/apt,Bedford-Stuyvesant,Brooklyn
850000058467889828,40.66946,-73.79125,,Entire home/apt,South Ozone Park,Queens
850062518718398723,40.76519945813651,-73.9788343903796,,Private room,Midtown,Manhattan
850068604258737442,40.850737018848015,-73.86449928137706,,Private room,Morris Park,Bronx
850085679404038080,40.71267,-73.98069,,Entire home/apt,Lower East Side,Manhattan
850200906094037889,40.63030296042787,-73.9218963868199,,Private room,Flatlands,Brooklyn
847103411295151523,40.67894560000001,-73.9437591,,Private room,Bedford-Stuyvesant,Brooklyn
847104056413213162,40.85450145327702,-73.92637690476805,,Private room,Washington Heights,Manhattan
847104466265879180,40.85416,-73.92836,,Private room,Washington Heights,Manhattan
847109091829310539,40.67894560000001,-73.9437591,,Private room,Bedford-Stuyvesant,Brooklyn
847111592468506161,40.67894560000001,-73.9437591,,Private room,Bedford-Stuyvesant,Brooklyn
847113109243256072,40.7185007,-74.00965110000001,,Entire home/apt,Tribeca,Manhattan
847113408334252715,40.67894560000001,-73.9437591,,Private room,Bedford-Stuyvesant,Brooklyn
847114373874850420,40.68006712088878,-73.94310937284916,,Private room,Bedford-Stuyvesant,Brooklyn
847115675515322373,40.67894560000001,-73.9437591,,Private room,Bedford-Stuyvesant,Brooklyn
850619180497787481,40.6919554276068,-73.93571235172253,,Private room,Bedford-Stuyvesant,Brooklyn
850620715416914851,40.69230649822149,-73.93578950799946,,Private room,Bedford-Stuyvesant,Brooklyn
850655651403503454,40.836327436955415,-73.94264191537384,,Private room,Washington Heights,Manhattan
850663853879529531,40.668977,-73.981006,,Entire home/apt,Park Slope,Brooklyn
