dbn,school_name,latitude,longitude,finalgrades
23K697,Teachers Preparatory High School,40.665878,-73.911705,9 to 12
16K455,Boys and Girls High School,40.67944,-73.932407,9 to 12
08X312,Millennium Art Academy,40.82229,-73.856167,9 to 12
13K527,Urban Assembly Institute of Math and Science for Young Women,40.694682,-73.988853,6 to 12
24Q550,High School for Arts and Business,40.737427,-73.853178,9 to 12
03M492,"High School for Law, Advocacy and Community Justice",40.774351,-73.984753,9 to 12
11X290,Bronx Academy of Health Careers,40.875953,-73.86197,9 to 12
12X511,Bronx Envision Academy,40.8359,-73.890458,9 to 12
06M211,Inwood Early College for Health and Information Technologies,40.866053,-73.924835,9 to 14
29Q283,Preparatory Academy for Writers: A College Board School,40.668235,-73.756839,6 to 12
10X433,High School for Teaching and the Professions,40.870293,-73.898309,9 to 12
02M294,Essex Street Academy,40.717349,-73.989596,9 to 12
08X376,Antonia Pantoja Preparatory Academy: A College Board School,40.82229,-73.856167,6 to 12
02M437,Hudson High School of Learning Technologies,40.742867,-74.002136,9 to 12
27Q475,Richmond Hill High School,40.695888,-73.833681,9 to 12
08X558,Westchester Square Academy,40.840702,-73.838545,9 to 12
03M415,Wadleigh Secondary School for the Performing & Visual Arts,40.802207,-73.954142,6 to 12
19K639,Brooklyn Lab School,40.691146,-73.868328,9 to 12
08X367,"Archimedes Academy for Math, Science and Technology Applications",40.814833,-73.85658,6 to 12
24Q610,Aviation Career & Technical Education High School,40.743509,-73.929076,9 to 12
14K488,Brooklyn Preparatory High School,40.715073,-73.954754,9 to 12
06M540,A. Philip Randolph Campus High School,40.818188,-73.950356,9 to 12
15K423,Brooklyn Frontiers High School,40.690145,-73.989132,9 to 12
01M450,East Side Community School,40.729589,-73.982555,6 to 12
17K537,High School for Youth and Community Development at Erasmus,40.649787,-73.95855,9 to 12
27Q260,Frederick Douglass Academy VI High School,40.60201,-73.762795,9 to 12
12X248,"Metropolitan High School, The",40.827315,-73.897612,9 to 12
21K525,Edward R. Murrow High School,40.620525,-73.959285,9 to 12
29Q498,Humanities & Arts Magnet High School,40.697819,-73.745728,9 to 12
19K660,W. H. Maxwell Career and Technical Education High School,40.674135,-73.89643,9 to 12
31R080,The Michael J. Petrides School,40.608512,-74.102067,K to 12
32K554,All City Leadership Secondary School,40.69737,-73.913171,6 to 12
10X268,Kingsbridge International High School,40.870293,-73.898309,9 to 12
02M414,N.Y.C. Museum School,40.742129,-74.002198,9 to 12
02M418,Millennium High School,40.704541,-74.011552,9 to 12
09X350,New Directions Secondary School,40.840422,-73.91091,6 to 12
17K528,The High School for Global Citizenship,40.670349,-73.961695,9 to 12
02M459,Manhattan International High School,40.765359,-73.960059,9 to 12
10X213,Bronx Engineering and Technology Academy,40.877105,-73.912256,9 to 12
18K569,Kurt Hahn Expeditionary Learning School,40.648657,-73.922171,9 to 12
02M605,Humanities Preparatory Academy,40.742867,-74.002136,9 to 12
10X445,The Bronx High School of Science,40.87759,-73.89104,9 to 12
02M303,The Facing History School,40.76525,-73.993105,9 to 12
09X365,Academy for Language and Technology,40.849532,-73.916077,9 to 12
28Q284,York Early College Academy,40.69719,-73.787192,6 to 12
10X438,Fordham Leadership Academy,40.860043,-73.888267,9 to 12
32K549,The Brooklyn School for Social Justice,40.697185,-73.91117,9 to 12
11X275,High School of Computers and Technology,40.875953,-73.86197,9 to 12
30Q445,William Cullen Bryant High School,40.75823,-73.910514,9 to 12
02M376,NYC iSchool,40.7244,-74.004625,9 to 12
02M449,Vanguard High School,40.765359,-73.960059,9 to 12
19K404,Academy for Young Writers,40.657434,-73.874734,6 to 12
19K507,Performing Arts and Technology High School,40.667456,-73.894747,9 to 12
02M545,High School for Dual Language and Asian Studies,40.717349,-73.989596,9 to 12
