dbn,school_name,latitude,longitude,finalgrades
10X342,International School for Liberal Arts,40.870293,-73.898309,6 to 12
17K408,Academy of Hospitality and Tourism,40.649787,-73.95855,9 to 12
09X327,Comprehensive Model School Project M.S. 327,40.842495,-73.916082,6 to 12
02M412,N.Y.C. Lab School for Collaborative Studies,40.742129,-74.002198,9 to 12
02M520,Murry Bergtraum High School for Business Careers,40.711442,-74.000851,9 to 12
30Q502,Information Technology High School,40.748701,-73.94638,9 to 12
11X270,Academy for Scholarship and Entrepreneurship: A College Board School,40.887831,-73.852694,9 to 12
10X546,Bronx Theatre High School,40.877105,-73.912256,9 to 12
02M308,Lower Manhattan Arts Academy,40.717349,-73.989596,9 to 12
32K545,EBC High School for Public Service - Bushwick,40.694507,-73.929107,9 to 12
17K600,Clara Barton High School,40.669567,-73.961962,9 to 12
27Q650,"High School for Construction Trades, Engineering and Architecture",40.689591,-73.840717,9 to 12
20K609,Urban Assembly School for Criminal Justice,40.634875,-73.981528,6 to 12
12X478,The Cinema School,40.831416,-73.877785,9 to 12
23K644,Eagle Academy for Young Men II,40.677805,-73.915843,6 to 12
07X221,South Bronx Preparatory: A College Board School,40.813983,-73.920782,6 to 12
14K561,Williamsburg Preparatory School,40.715073,-73.954754,9 to 12
14K614,Young Women's Leadership School of Brooklyn (TYWLS),40.705204,-73.939407,6 to 12
01M539,"New Explorations into Science, Technology and Math High School (NEST+m)",40.718895,-73.979308,K to 12
19K615,Transit Tech Career and Technical Education High School,40.678276,-73.87596,9 to 12
08X348,Schuylerville Preparatory High School,40.840702,-73.838545,9 to 12
08X561,Bronx Compass High School,40.82229,-73.856167,9 to 12
24Q585,Maspeth High School,40.729939,-73.887482,9 to 12
17K543,"Science, Technology and Research Early College High School at Erasmus (STAR)",40.649787,-73.95855,6 to 12
26Q495,Bayside High School,40.771755,-73.780296,9 to 12
03M541,Manhattan / Hunter Science High School,40.774351,-73.984753,9 to 12
11X418,Bronx High School for the Visual Arts,40.851405,-73.865036,9 to 12
30Q286,"Young Women's Leadership School, Astoria (TYWLS)",40.771215,-73.924591,6 to 12
